target,source,flow
PG,IT,0
TOTAL,IT,85711
NSP,IT,8
BE,CY,33
BG,CY,0
CZ,CY,0
DK,CY,0
DE,CY,0
EE,CY,0
IE,CY,0
EL,CY,437
ES,CY,42
FR,CY,306
HR,CY,2
IT,CY,115
CY,CY,0
LV,CY,0
LT,CY,0
LU,CY,0
HU,CY,0
MT,CY,6
NL,CY,330
AT,CY,0
PL,CY,0
PT,CY,0
RO,CY,0
SI,CY,0
SK,CY,0
FI,CY,0
SE,CY,0
UK,CY,105
IS,CY,0
NO,CY,33
CH,CY,0
ME,CY,0
MK,CY,0
RS,CY,0
TR,CY,0
BY,CY,0
BA,CY,0
MD,CY,0
RU,CY,47
UA,CY,11
EX_SU_OTH,CY,0
EUR_OTH,CY,0
AO,CY,0
CM,CY,0
CG,CY,0
CD,CY,0
GQ,CY,0
GA,CY,0
DZ,CY,0
EG,CY,90
LY,CY,0
TN,CY,0
NG,CY,0
AFR_OTH,CY,0
CA,CY,0
US,CY,12
BS,CY,0
AN,CY,0
TT,CY,0
MX,CY,0
AR,CY,0
BR,CY,126
CL,CY,0
CO,CY,0
EC,CY,0
PE,CY,0
VE,CY,0
AME_OTH,CY,0
KZ,CY,17
KG,CY,0
TJ,CY,0
TM,CY,0
UZ,CY,0
CN_X_HK,CY,0
HK,CY,0
JP,CY,0
KR,CY,0
IN,CY,0
IR,CY,0
BN,CY,0
ID,CY,0
MY,CY,0
SG,CY,0
TH,CY,0
VN,CY,0
AM,CY,0
AZ,CY,0
BH,CY,0
GE,CY,28
IQ,CY,0
IL,CY,813
KW,CY,38
OM,CY,0
QA,CY,13
SA,CY,12
SY,CY,0
AE,CY,0
YE,CY,0
ASI_NME,CY,0
ASI_OTH,CY,0
AU,CY,0
NZ,CY,0
PG,CY,0
TOTAL,CY,2618
NSP,CY,2
BE,LV,0
BG,LV,0
CZ,LV,0
DK,LV,0
DE,LV,4
EE,LV,26
IE,LV,0
EL,LV,0
ES,LV,0
FR,LV,0
HR,LV,0
IT,LV,1
CY,LV,4
LV,LV,0
LT,LV,968
LU,LV,0
HU,LV,1
MT,LV,0
NL,LV,1
AT,LV,3
PL,LV,54
PT,LV,0
RO,LV,0
SI,LV,0
SK,LV,0
FI,LV,248
SE,LV,2
UK,LV,0
IS,LV,0
NO,LV,8
CH,LV,0
ME,LV,0
MK,LV,0
RS,LV,0
TR,LV,0
BY,LV,491
BA,LV,0
MD,LV,0
RU,LV,219
UA,LV,0
EX_SU_OTH,LV,0
EUR_OTH,LV,1
AO,LV,0
CM,LV,0
CG,LV,0
CD,LV,0
GQ,LV,0
GA,LV,0
DZ,LV,0
EG,LV,0
LY,LV,0
TN,LV,0
NG,LV,0
AFR_OTH,LV,0
CA,LV,0
US,LV,0
BS,LV,0
AN,LV,0
TT,LV,0
MX,LV,0
AR,LV,0
BR,LV,0
CL,LV,0
CO,LV,0
EC,LV,0
PE,LV,0
VE,LV,0
AME_OTH,LV,0
KZ,LV,73
KG,LV,0
TJ,LV,0
TM,LV,0
UZ,LV,1
CN_X_HK,LV,0
HK,LV,0
JP,LV,0
KR,LV,0
IN,LV,0
IR,LV,0
BN,LV,0
ID,LV,0
MY,LV,0
SG,LV,0
TH,LV,0
VN,LV,0
AM,LV,0
AZ,LV,1
BH,LV,0
GE,LV,0
IQ,LV,0
IL,LV,0
KW,LV,0
OM,LV,0
QA,LV,0
SA,LV,0
SY,LV,0
AE,LV,0
YE,LV,0
ASI_NME,LV,0
ASI_OTH,LV,0
AU,LV,0
NZ,LV,0
PG,LV,0
TOTAL,LV,2138
NSP,LV,32
BE,LT,3
BG,LT,0
CZ,LT,0
DK,LT,22
DE,LT,8
EE,LT,30
IE,LT,0
EL,LT,0
ES,LT,0
FR,LT,1
HR,LT,0
IT,LT,1
CY,LT,41
LV,LT,161
LT,LT,0
LU,LT,0
HU,LT,0
MT,LT,0
NL,LT,61
AT,LT,18
PL,LT,400
PT,LT,0
RO,LT,0
SI,LT,0
SK,LT,0
FI,LT,16
SE,LT,68
UK,LT,53
IS,LT,0
NO,LT,0
CH,LT,93
ME,LT,0
MK,LT,0
RS,LT,0
TR,LT,0
BY,LT,367
BA,LT,0
MD,LT,0
RU,LT,8725
UA,LT,0
EX_SU_OTH,LT,0
EUR_OTH,LT,0
AO,LT,0
CM,LT,0
CG,LT,0
CD,LT,0
GQ,LT,0
GA,LT,0
DZ,LT,0
EG,LT,0
LY,LT,0
TN,LT,0
NG,LT,0
AFR_OTH,LT,0
CA,LT,0
US,LT,0
BS,LT,0
AN,LT,0
TT,LT,0
MX,LT,0
AR,LT,0
BR,LT,0
CL,LT,0
CO,LT,0
EC,LT,0
PE,LT,0
VE,LT,0
AME_OTH,LT,3
KZ,LT,22
KG,LT,0
TJ,LT,0
TM,LT,0
UZ,LT,0
CN_X_HK,LT,11
HK,LT,0
JP,LT,0
KR,LT,0
IN,LT,0
IR,LT,0
BN,LT,0
ID,LT,0
MY,LT,0
SG,LT,0
TH,LT,0
VN,LT,0
AM,LT,0
AZ,LT,0
BH,LT,0
GE,LT,0
IQ,LT,0
IL,LT,0
KW,LT,0
OM,LT,0
QA,LT,0
SA,LT,0
SY,LT,0
AE,LT,0
YE,LT,0
ASI_NME,LT,0
ASI_OTH,LT,0
AU,LT,0
NZ,LT,0
PG,LT,0
TOTAL,LT,10104
NSP,LT,0
BE,LU,2189
BG,LU,0
CZ,LU,0
DK,LU,0
DE,LU,218
EE,LU,0
IE,LU,0
EL,LU,0
ES,LU,0
FR,LU,223
HR,LU,0
IT,LU,0
CY,LU,0
LV,LU,0
LT,LU,0
LU,LU,0
HU,LU,0
MT,LU,0
NL,LU,163
AT,LU,0
PL,LU,0
PT,LU,0
RO,LU,0
SI,LU,0
SK,LU,0
FI,LU,0
SE,LU,0
UK,LU,0
IS,LU,0
NO,LU,0
CH,LU,0
ME,LU,0
MK,LU,0
RS,LU,0
TR,LU,0
BY,LU,0
BA,LU,0
MD,LU,0
RU,LU,0
UA,LU,0
EX_SU_OTH,LU,0
EUR_OTH,LU,0
AO,LU,0
CM,LU,0
CG,LU,0
CD,LU,0
GQ,LU,0
GA,LU,0
DZ,LU,0
EG,LU,0
LY,LU,0
TN,LU,0
NG,LU,0
AFR_OTH,LU,0
CA,LU,0
US,LU,0
BS,LU,0
AN,LU,0
TT,LU,0
MX,LU,0
AR,LU,0
BR,LU,0
CL,LU,0
CO,LU,0
EC,LU,0
PE,LU,0
VE,LU,0
AME_OTH,LU,0
KZ,LU,0
KG,LU,0
TJ,LU,0
TM,LU,0
UZ,LU,0
CN_X_HK,LU,0
HK,LU,0
JP,LU,0
KR,LU,0
IN,LU,0
IR,LU,0
BN,LU,0
ID,LU,0
MY,LU,0
SG,LU,0
TH,LU,0
VN,LU,0
AM,LU,0
AZ,LU,0
BH,LU,0
GE,LU,0
IQ,LU,0
IL,LU,0
KW,LU,0
OM,LU,0
QA,LU,0
SA,LU,0
SY,LU,0
AE,LU,0
YE,LU,0
ASI_NME,LU,0
ASI_OTH,LU,0
AU,LU,0
NZ,LU,0
PG,LU,0
TOTAL,LU,2793
NSP,LU,0
BE,HU,1
BG,HU,0
CZ,HU,50
DK,HU,0
DE,HU,11
EE,HU,0
IE,HU,0
EL,HU,0
ES,HU,0
FR,HU,1
HR,HU,64
IT,HU,27
CY,HU,0
LV,HU,0
LT,HU,0
LU,HU,0
HU,HU,0
MT,HU,0
NL,HU,1
AT,HU,388
PL,HU,2
PT,HU,0
RO,HU,97
SI,HU,8
SK,HU,608
FI,HU,0
SE,HU,0
UK,HU,0
IS,HU,0
NO,HU,0
CH,HU,0
ME,HU,0
MK,HU,0
RS,HU,1
TR,HU,0
BY,HU,30
BA,HU,0
MD,HU,0
RU,HU,6253
UA,HU,2
EX_SU_OTH,HU,0
EUR_OTH,HU,0
AO,HU,0
CM,HU,0
CG,HU,0
CD,HU,0
GQ,HU,0
GA,HU,0
DZ,HU,0
EG,HU,0
LY,HU,0
TN,HU,0
NG,HU,0
AFR_OTH,HU,0
CA,HU,0
US,HU,0
BS,HU,0
AN,HU,0
TT,HU,0
MX,HU,0
AR,HU,0
BR,HU,0
CL,HU,0
CO,HU,0
EC,HU,0
PE,HU,0
VE,HU,0
AME_OTH,HU,0
KZ,HU,98
KG,HU,0
TJ,HU,0
TM,HU,0
UZ,HU,0
CN_X_HK,HU,0
HK,HU,0
JP,HU,0
KR,HU,0
IN,HU,0
IR,HU,0
BN,HU,0
ID,HU,0
MY,HU,0
SG,HU,0
TH,HU,0
VN,HU,0
AM,HU,0
AZ,HU,0
BH,HU,0
GE,HU,0
IQ,HU,0
IL,HU,0
KW,HU,0
OM,HU,0
QA,HU,0
SA,HU,0
SY,HU,0
AE,HU,0
YE,HU,0
ASI_NME,HU,0
ASI_OTH,HU,0
AU,HU,0
NZ,HU,0
PG,HU,0
TOTAL,HU,7642
NSP,HU,0
BE,MT,0
BG,MT,0
CZ,MT,0
DK,MT,0
DE,MT,0
EE,MT,0
IE,MT,0
EL,MT,75
ES,MT,76
FR,MT,147
HR,MT,4
IT,MT,1463
CY,MT,0
LV,MT,0
LT,MT,0
LU,MT,0
HU,MT,0
MT,MT,0
NL,MT,65
AT,MT,0
PL,MT,1
PT,MT,0
RO,MT,3
SI,MT,0
SK,MT,0
FI,MT,0
SE,MT,0
UK,MT,173
IS,MT,0
NO,MT,0
CH,MT,0
ME,MT,0
MK,MT,0
RS,MT,0
TR,MT,5
BY,MT,0
BA,MT,0
MD,MT,0
RU,MT,0
UA,MT,6
EX_SU_OTH,MT,0
EUR_OTH,MT,0
AO,MT,0
CM,MT,0
CG,MT,0
CD,MT,0
GQ,MT,0
GA,MT,0
DZ,MT,1
EG,MT,0
LY,MT,19
TN,MT,0
NG,MT,0
AFR_OTH,MT,0
CA,MT,0
US,MT,12
BS,MT,2
AN,MT,0
TT,MT,0
MX,MT,0
AR,MT,0
BR,MT,0
CL,MT,0
CO,MT,0
EC,MT,0
PE,MT,0
VE,MT,0
AME_OTH,MT,0
KZ,MT,0
KG,MT,0
TJ,MT,0
TM,MT,0
UZ,MT,0
CN_X_HK,MT,0
HK,MT,0
JP,MT,0
KR,MT,0
IN,MT,0
IR,MT,0
BN,MT,0
ID,MT,0
MY,MT,0
SG,MT,0
TH,MT,0
VN,MT,0
AM,MT,0
AZ,MT,8
BH,MT,0
GE,MT,9
IQ,MT,0
IL,MT,0
KW,MT,0
OM,MT,0
QA,MT,0
SA,MT,0
SY,MT,0
AE,MT,31
YE,MT,0
ASI_NME,MT,0
ASI_OTH,MT,0
AU,MT,0
NZ,MT,0
PG,MT,0
TOTAL,MT,2100
NSP,MT,0
BE,NL,10450
BG,NL,31
CZ,NL,23
DK,NL,581
DE,NL,4315
EE,NL,1462
IE,NL,29
EL,NL,77
ES,NL,1475
FR,NL,3463
HR,NL,25
IT,NL,768
CY,NL,46
LV,NL,1250
LT,NL,3267
LU,NL,0
HU,NL,7
MT,NL,164
NL,NL,0
AT,NL,10
PL,NL,1021
PT,NL,522
RO,NL,0
SI,NL,0
SK,NL,5
FI,NL,713
SE,NL,1550
UK,NL,12632
IS,NL,28
NO,NL,7388
CH,NL,127
ME,NL,0
MK,NL,0
RS,NL,14
TR,NL,176
BY,NL,93
BA,NL,0
MD,NL,0
RU,NL,30152
UA,NL,75
EX_SU_OTH,NL,0
EUR_OTH,NL,25
AO,NL,1033
CM,NL,41
CG,NL,213
CD,NL,0
GQ,NL,0
GA,NL,0
DZ,NL,6178
EG,NL,115
LY,NL,1808
TN,NL,337
NG,NL,6046
AFR_OTH,NL,1643
CA,NL,331
US,NL,1870
BS,NL,41
AN,NL,0
TT,NL,542
MX,NL,160
AR,NL,26
BR,NL,1805
CL,NL,0
CO,NL,458
EC,NL,0
PE,NL,92
VE,NL,798
AME_OTH,NL,94
KZ,NL,1983
KG,NL,0
TJ,NL,0
TM,NL,0
UZ,NL,0
CN_X_HK,NL,52
HK,NL,0
JP,NL,16
KR,NL,232
IN,NL,852
IR,NL,126
BN,NL,0
ID,NL,0
MY,NL,13
SG,NL,57
TH,NL,0
VN,NL,0
AM,NL,0
AZ,NL,142
BH,NL,134
GE,NL,26
IQ,NL,2730
IL,NL,5
KW,NL,3455
OM,NL,120
QA,NL,70
SA,NL,6245
SY,NL,0
AE,NL,743
YE,NL,0
ASI_NME,NL,50
ASI_OTH,NL,89
AU,NL,0
NZ,NL,0
PG,NL,0
TOTAL,NL,150289
NSP,NL,27554
BE,AT,13
BG,AT,1
CZ,AT,439
DK,AT,0
DE,AT,2865
EE,AT,0
IE,AT,0
EL,AT,0
ES,AT,4
FR,AT,14
HR,AT,2
IT,AT,438
CY,AT,0
LV,AT,0
LT,AT,0
LU,AT,0
HU,AT,528
MT,AT,0
NL,AT,5
AT,AT,0
PL,AT,10
PT,AT,0
RO,AT,2
SI,AT,259
SK,AT,1078
FI,AT,1
SE,AT,0
UK,AT,17
IS,AT,0
NO,AT,0
CH,AT,0
ME,AT,0
MK,AT,0
RS,AT,0
TR,AT,0
BY,AT,0
BA,AT,1
MD,AT,0
RU,AT,1179
UA,AT,0
EX_SU_OTH,AT,0
EUR_OTH,AT,0
AO,AT,0
CM,AT,0
CG,AT,0
CD,AT,0
GQ,AT,0
GA,AT,0
DZ,AT,321
EG,AT,42
LY,AT,994
TN,AT,30
NG,AT,1315
AFR_OTH,AT,0
CA,AT,0
US,AT,0
BS,AT,0
AN,AT,0
TT,AT,0
MX,AT,0
AR,AT,0
BR,AT,0
CL,AT,0
CO,AT,0
EC,AT,0
PE,AT,0
VE,AT,0
AME_OTH,AT,0
KZ,AT,2021
KG,AT,0
TJ,AT,0
TM,AT,0
UZ,AT,0
CN_X_HK,AT,0
HK,AT,0
JP,AT,0
KR,AT,0
IN,AT,0
IR,AT,148
BN,AT,0
ID,AT,0
MY,AT,0
SG,AT,0
TH,AT,0
VN,AT,0
AM,AT,0
AZ,AT,233
BH,AT,0
GE,AT,0
IQ,AT,70
IL,AT,0
KW,AT,417
OM,AT,0
QA,AT,0
SA,AT,845
SY,AT,0
AE,AT,0
YE,AT,0
ASI_NME,AT,0
ASI_OTH,AT,0
AU,AT,0
NZ,AT,0
PG,AT,0
TOTAL,AT,13350
NSP,AT,58
BE,PL,27
BG,PL,20
CZ,PL,138
DK,PL,68
DE,PL,1008
EE,PL,3
IE,PL,0
EL,PL,0
ES,PL,3
FR,PL,49
HR,PL,2
IT,PL,11
CY,PL,16
LV,PL,79
LT,PL,266
LU,PL,18
HU,PL,62
MT,PL,0
NL,PL,138
AT,PL,23
PL,PL,0
PT,PL,0
RO,PL,0
SI,PL,1
SK,PL,428
FI,PL,71
SE,PL,113
UK,PL,51
IS,PL,0
NO,PL,829
CH,PL,0
ME,PL,0
MK,PL,0
RS,PL,0
TR,PL,0
BY,PL,426
BA,PL,1
MD,PL,0
RU,PL,24979
UA,PL,13
EX_SU_OTH,PL,0
EUR_OTH,PL,0
AO,PL,0
CM,PL,0
CG,PL,0
CD,PL,0
GQ,PL,0
GA,PL,0
DZ,PL,103
EG,PL,0
LY,PL,0
TN,PL,0
NG,PL,0
AFR_OTH,PL,0
CA,PL,0
US,PL,3
BS,PL,0
AN,PL,0
TT,PL,0
MX,PL,0
AR,PL,0
BR,PL,1
CL,PL,0
CO,PL,0
EC,PL,0
PE,PL,0
VE,PL,0
AME_OTH,PL,0
KZ,PL,344
KG,PL,0
TJ,PL,0
TM,PL,0
UZ,PL,15
CN_X_HK,PL,10
HK,PL,0
JP,PL,1
KR,PL,1
IN,PL,1
IR,PL,0
BN,PL,0
ID,PL,0
MY,PL,0
SG,PL,0
TH,PL,0
VN,PL,0
AM,PL,0
AZ,PL,0
BH,PL,0
GE,PL,0
IQ,PL,120
IL,PL,1
KW,PL,0
OM,PL,0
QA,PL,0
SA,PL,59
SY,PL,0
AE,PL,0
YE,PL,0
ASI_NME,PL,0
ASI_OTH,PL,0
AU,PL,0
NZ,PL,0
PG,PL,0
TOTAL,PL,29609
NSP,PL,107
BE,PT,84
BG,PT,0
CZ,PT,0
DK,PT,28
DE,PT,2
EE,PT,0
IE,PT,0
EL,PT,0
ES,PT,1768
FR,PT,6
HR,PT,0
IT,PT,0
CY,PT,0
LV,PT,0
LT,PT,0
LU,PT,0
HU,PT,0
MT,PT,0
NL,PT,107
AT,PT,0
PL,PT,0
PT,PT,0
RO,PT,0
SI,PT,0
SK,PT,0
FI,PT,0
SE,PT,4
UK,PT,188
IS,PT,0
NO,PT,34
CH,PT,0
ME,PT,0
MK,PT,0
RS,PT,0
TR,PT,0
BY,PT,0
BA,PT,0
MD,PT,0
RU,PT,380
UA,PT,0
EX_SU_OTH,PT,0
EUR_OTH,PT,0
AO,PT,2653
CM,PT,564
CG,PT,0
CD,PT,12
GQ,PT,452
GA,PT,0
DZ,PT,1179
EG,PT,0
LY,PT,489
TN,PT,0
NG,PT,668
AFR_OTH,PT,30
CA,PT,41
US,PT,340
BS,PT,0
AN,PT,0
TT,PT,0
MX,PT,137
AR,PT,0
BR,PT,1253
CL,PT,0
CO,PT,0
EC,PT,0
PE,PT,0
VE,PT,283
AME_OTH,PT,2
KZ,PT,1043
KG,PT,0
TJ,PT,0
TM,PT,0
UZ,PT,0
CN_X_HK,PT,0
HK,PT,0
JP,PT,0
KR,PT,0
IN,PT,0
IR,PT,0
BN,PT,0
ID,PT,0
MY,PT,0
SG,PT,0
TH,PT,21
VN,PT,0
AM,PT,0
AZ,PT,1707
BH,PT,0
GE,PT,0
IQ,PT,291
IL,PT,0
KW,PT,43
OM,PT,0
QA,PT,0
SA,PT,119
SY,PT,0
AE,PT,0
YE,PT,0
ASI_NME,PT,0
ASI_OTH,PT,0
AU,PT,0
NZ,PT,0
PG,PT,0
TOTAL,PT,14303
NSP,PT,375
BE,RO,6
BG,RO,101
CZ,RO,0
DK,RO,0
DE,RO,15
EE,RO,0
IE,RO,0
EL,RO,31
ES,RO,61
FR,RO,35
HR,RO,0
IT,RO,158
CY,RO,7
LV,RO,0
LT,RO,0
LU,RO,0
HU,RO,727
MT,RO,0
NL,RO,20
AT,RO,154
PL,RO,127
PT,RO,0
RO,RO,0
SI,RO,2
SK,RO,0
FI,RO,0
SE,RO,0
UK,RO,1
IS,RO,0
NO,RO,0
CH,RO,0
ME,RO,0
MK,RO,0
RS,RO,22
TR,RO,27
BY,RO,25
BA,RO,4
MD,RO,0
RU,RO,1813
UA,RO,32
EX_SU_OTH,RO,0
EUR_OTH,RO,46
AO,RO,0
CM,RO,0
CG,RO,0
CD,RO,0
GQ,RO,0
GA,RO,0
DZ,RO,0
EG,RO,0
LY,RO,0
TN,RO,0
NG,RO,0
AFR_OTH,RO,0
CA,RO,0
US,RO,558
BS,RO,0
AN,RO,0
TT,RO,0
MX,RO,0
AR,RO,0
BR,RO,0
CL,RO,0
CO,RO,0
EC,RO,0
PE,RO,0
VE,RO,16
AME_OTH,RO,0
KZ,RO,3464
KG,RO,0
TJ,RO,0
TM,RO,4
UZ,RO,0
CN_X_HK,RO,16
HK,RO,0
JP,RO,0
KR,RO,21
IN,RO,203
IR,RO,0
BN,RO,0
ID,RO,7
MY,RO,0
SG,RO,0
TH,RO,0
VN,RO,0
AM,RO,0
AZ,RO,86
BH,RO,0
GE,RO,0
IQ,RO,79
IL,RO,44
KW,RO,0
OM,RO,0
QA,RO,0
SA,RO,0
SY,RO,0
AE,RO,0
YE,RO,0
ASI_NME,RO,0
ASI_OTH,RO,0
AU,RO,0
NZ,RO,0
PG,RO,0
TOTAL,RO,7971
NSP,RO,59
BE,SI,2
BG,SI,0
CZ,SI,0
DK,SI,0
DE,SI,25
EE,SI,0
IE,SI,0
EL,SI,30
ES,SI,26
FR,SI,0
HR,SI,32
IT,SI,972
CY,SI,0
LV,SI,0
LT,SI,0
LU,SI,0
HU,SI,181
MT,SI,0
NL,SI,0
AT,SI,281
PL,SI,8
PT,SI,0
RO,SI,7
SI,SI,0
SK,SI,0
FI,SI,0
SE,SI,0
UK,SI,270
IS,SI,0
NO,SI,0
CH,SI,1137
ME,SI,0
MK,SI,0
RS,SI,0
TR,SI,1
BY,SI,0
BA,SI,0
MD,SI,0
RU,SI,29
UA,SI,0
EX_SU_OTH,SI,0
EUR_OTH,SI,0
AO,SI,0
CM,SI,0
CG,SI,0
CD,SI,0
GQ,SI,0
GA,SI,0
DZ,SI,0
EG,SI,0
LY,SI,0
TN,SI,0
NG,SI,0
AFR_OTH,SI,0
CA,SI,0
US,SI,379
BS,SI,0
AN,SI,0
TT,SI,0
MX,SI,0
AR,SI,0
BR,SI,0
CL,SI,0
CO,SI,0
EC,SI,0
PE,SI,0
VE,SI,0
AME_OTH,SI,0
KZ,SI,3
KG,SI,0
TJ,SI,0
TM,SI,0
UZ,SI,0
CN_X_HK,SI,0
HK,SI,0
JP,SI,0
KR,SI,0
IN,SI,3
IR,SI,0
BN,SI,0
ID,SI,0
MY,SI,0
SG,SI,0
TH,SI,0
VN,SI,0
AM,SI,0
AZ,SI,0
BH,SI,6
GE,SI,0
IQ,SI,0
IL,SI,0
KW,SI,0
OM,SI,0
QA,SI,2
SA,SI,11
SY,SI,0
AE,SI,0
YE,SI,0
ASI_NME,SI,0
ASI_OTH,SI,0
AU,SI,0
NZ,SI,0
PG,SI,0
TOTAL,SI,3424
NSP,SI,19
BE,SK,2
BG,SK,9
CZ,SK,394
DK,SK,0
DE,SK,85
EE,SK,0
IE,SK,0
EL,SK,0
ES,SK,0
FR,SK,2
HR,SK,17
IT,SK,19
CY,SK,0
LV,SK,0
LT,SK,0
LU,SK,0
HU,SK,171
MT,SK,0
NL,SK,0
AT,SK,389
PL,SK,47
PT,SK,0
RO,SK,11
SI,SK,2
SK,SK,0
FI,SK,0
SE,SK,0
UK,SK,0
IS,SK,0
NO,SK,0
CH,SK,0
ME,SK,0
MK,SK,0
RS,SK,0
TR,SK,0
BY,SK,54
BA,SK,0
MD,SK,0
RU,SK,5389
UA,SK,0
EX_SU_OTH,SK,0
EUR_OTH,SK,0
AO,SK,0
CM,SK,0
CG,SK,0
CD,SK,0
GQ,SK,0
GA,SK,0
DZ,SK,0
EG,SK,0
LY,SK,0
TN,SK,0
NG,SK,0
AFR_OTH,SK,0
CA,SK,0
US,SK,0
BS,SK,0
AN,SK,0
TT,SK,0
MX,SK,0
AR,SK,0
BR,SK,0
CL,SK,0
CO,SK,0
EC,SK,0
PE,SK,0
VE,SK,0
AME_OTH,SK,0
KZ,SK,20
KG,SK,0
TJ,SK,0
TM,SK,0
UZ,SK,0
CN_X_HK,SK,0
HK,SK,0
JP,SK,0
KR,SK,0
IN,SK,0
IR,SK,0
BN,SK,0
ID,SK,0
MY,SK,0
SG,SK,0
TH,SK,0
VN,SK,0
AM,SK,0
AZ,SK,0
BH,SK,0
GE,SK,0
IQ,SK,0
IL,SK,0
KW,SK,0
OM,SK,0
QA,SK,0
SA,SK,0
SY,SK,0
AE,SK,0
YE,SK,0
ASI_NME,SK,0
ASI_OTH,SK,0
AU,SK,0
NZ,SK,0
PG,SK,0
TOTAL,SK,6640
NSP,SK,29
BE,FI,110
BG,FI,0
CZ,FI,0
DK,FI,66
DE,FI,26
EE,FI,14
IE,FI,0
EL,FI,0
ES,FI,3
FR,FI,58
HR,FI,0
IT,FI,1
CY,FI,0
LV,FI,1
LT,FI,0
LU,FI,0
HU,FI,0
MT,FI,0
NL,FI,325
AT,FI,0
PL,FI,73
PT,FI,0
RO,FI,0
SI,FI,0
SK,FI,0
FI,FI,0
SE,FI,505
UK,FI,93
IS,FI,0
NO,FI,1727
CH,FI,0
ME,FI,0
MK,FI,0
RS,FI,0
TR,FI,1
BY,FI,131
BA,FI,0
MD,FI,0
RU,FI,11854
UA,FI,0
EX_SU_OTH,FI,0
EUR_OTH,FI,0
AO,FI,0
CM,FI,0
CG,FI,0
CD,FI,0
GQ,FI,0
GA,FI,0
DZ,FI,17
EG,FI,0
LY,FI,2
TN,FI,0
NG,FI,0
AFR_OTH,FI,1
CA,FI,1
US,FI,69
BS,FI,0
AN,FI,0
TT,FI,0
MX,FI,0
AR,FI,0
BR,FI,0
CL,FI,0
CO,FI,0
EC,FI,0
PE,FI,0
VE,FI,0
AME_OTH,FI,0
KZ,FI,461
KG,FI,0
TJ,FI,0
TM,FI,0
UZ,FI,0
CN_X_HK,FI,0
HK,FI,0
JP,FI,0
KR,FI,149
IN,FI,65
IR,FI,0
BN,FI,0
ID,FI,0
MY,FI,0
SG,FI,97
TH,FI,0
VN,FI,0
AM,FI,0
AZ,FI,0
BH,FI,0
GE,FI,0
IQ,FI,0
IL,FI,0
KW,FI,0
OM,FI,0
QA,FI,9
SA,FI,0
SY,FI,0
AE,FI,8
YE,FI,0
ASI_NME,FI,0
ASI_OTH,FI,0
AU,FI,0
NZ,FI,0
PG,FI,0
TOTAL,FI,15867
NSP,FI,0
BE,SE,184
BG,SE,0
CZ,SE,0
DK,SE,4651
DE,SE,86
EE,SE,1
IE,SE,0
EL,SE,0
ES,SE,4
FR,SE,14
HR,SE,0
IT,SE,1
CY,SE,0
LV,SE,69
LT,SE,0
LU,SE,0
HU,SE,0
MT,SE,0
NL,SE,353
AT,SE,0
PL,SE,280
PT,SE,9
RO,SE,0
SI,SE,0
SK,SE,0
FI,SE,1887
SE,SE,0
UK,SE,1553
IS,SE,0
NO,SE,6462
CH,SE,36
ME,SE,0
MK,SE,0
RS,SE,0
TR,SE,0
BY,SE,0
BA,SE,0
MD,SE,0
RU,SE,9339
UA,SE,0
EX_SU_OTH,SE,0
EUR_OTH,SE,0
AO,SE,127
CM,SE,0
CG,SE,0
CD,SE,0
GQ,SE,0
GA,SE,0
DZ,SE,0
EG,SE,0
LY,SE,0
TN,SE,0
NG,SE,1276
AFR_OTH,SE,12
CA,SE,0
US,SE,13
BS,SE,0
AN,SE,0
TT,SE,0
MX,SE,0
AR,SE,0
BR,SE,0
CL,SE,0
CO,SE,0
EC,SE,0
PE,SE,0
VE,SE,955
AME_OTH,SE,9
KZ,SE,0
KG,SE,0
TJ,SE,0
TM,SE,0
UZ,SE,0
CN_X_HK,SE,0
HK,SE,0
JP,SE,0
KR,SE,5
IN,SE,0
IR,SE,0
BN,SE,0
ID,SE,0
MY,SE,0
SG,SE,0
TH,SE,0
VN,SE,0
AM,SE,0
AZ,SE,0
BH,SE,0
GE,SE,0
IQ,SE,99
IL,SE,0
KW,SE,0
OM,SE,0
QA,SE,34
SA,SE,5
SY,SE,0
AE,SE,0
YE,SE,0
ASI_NME,SE,6
ASI_OTH,SE,0
AU,SE,0
NZ,SE,0
PG,SE,0
TOTAL,SE,27494
NSP,SE,24
BE,UK,1206
BG,UK,0
CZ,UK,0
DK,UK,2980
DE,UK,683
EE,UK,227
IE,UK,1163
EL,UK,92
ES,UK,188
FR,UK,650
HR,UK,0
IT,UK,229
CY,UK,0
LV,UK,205
LT,UK,387
LU,UK,0
HU,UK,0
MT,UK,0
NL,UK,4241
AT,UK,2
PL,UK,302
PT,UK,133
RO,UK,0
SI,UK,0
SK,UK,0
FI,UK,381
SE,UK,5675
UK,UK,0
IS,UK,0
NO,UK,27106
CH,UK,0
ME,UK,0
MK,UK,0
RS,UK,0
TR,UK,598
BY,UK,88
BA,UK,0
MD,UK,0
RU,UK,10121
UA,UK,1
EX_SU_OTH,UK,1
EUR_OTH,UK,16
AO,UK,1578
CM,UK,93
CG,UK,20
CD,UK,0
GQ,UK,0
GA,UK,56
DZ,UK,3541
EG,UK,165
LY,UK,3288
TN,UK,432
NG,UK,6744
AFR_OTH,UK,876
CA,UK,472
US,UK,2240
BS,UK,0
AN,UK,482
TT,UK,5
MX,UK,0
AR,UK,0
BR,UK,4
CL,UK,0
CO,UK,27
EC,UK,319
PE,UK,0
VE,UK,1129
AME_OTH,UK,219
KZ,UK,1
