target,source,flow
EG,BE,130
LY,BE,497
TN,BE,28
NG,BE,4607
AFR_OTH,BE,130
CA,BE,37
US,BE,624
BS,BE,0
AN,BE,13
TT,BE,0
MX,BE,95
AR,BE,0
BR,BE,103
CL,BE,0
CO,BE,190
EC,BE,0
PE,BE,0
VE,BE,527
AME_OTH,BE,0
KZ,BE,0
KG,BE,0
TJ,BE,0
TM,BE,0
UZ,BE,0
CN_X_HK,BE,0
HK,BE,0
JP,BE,0
KR,BE,11
IN,BE,61
IR,BE,25
BN,BE,0
ID,BE,0
MY,BE,0
SG,BE,10
TH,BE,0
VN,BE,0
AM,BE,0
AZ,BE,0
BH,BE,89
GE,BE,0
IQ,BE,1216
IL,BE,0
KW,BE,4
OM,BE,31
QA,BE,52
SA,BE,7238
SY,BE,0
AE,BE,145
YE,BE,0
ASI_NME,BE,0
ASI_OTH,BE,12
AU,BE,0
NZ,BE,0
PG,BE,0
TOTAL,BE,54059
NSP,BE,123
BE,BG,0
BG,BG,0
CZ,BG,20
DK,BG,0
DE,BG,3
EE,BG,0
IE,BG,0
EL,BG,470
ES,BG,1
FR,BG,0
HR,BG,2
IT,BG,35
CY,BG,0
LV,BG,0
LT,BG,4
LU,BG,0
HU,BG,12
MT,BG,0
NL,BG,1
AT,BG,34
PL,BG,0
PT,BG,0
RO,BG,441
SI,BG,0
SK,BG,8
FI,BG,0
SE,BG,0
UK,BG,0
IS,BG,0
NO,BG,0
CH,BG,0
ME,BG,0
MK,BG,0
RS,BG,28
TR,BG,39
BY,BG,2
BA,BG,3
MD,BG,3
RU,BG,6483
UA,BG,12
EX_SU_OTH,BG,0
EUR_OTH,BG,0
AO,BG,0
CM,BG,0
CG,BG,0
CD,BG,0
GQ,BG,0
GA,BG,0
DZ,BG,0
EG,BG,28
LY,BG,0
TN,BG,0
NG,BG,0
AFR_OTH,BG,0
CA,BG,0
US,BG,334
BS,BG,0
AN,BG,0
TT,BG,0
MX,BG,0
AR,BG,0
BR,BG,0
CL,BG,0
CO,BG,0
EC,BG,0
PE,BG,0
VE,BG,0
AME_OTH,BG,0
KZ,BG,97
KG,BG,0
TJ,BG,0
TM,BG,46
UZ,BG,0
CN_X_HK,BG,0
HK,BG,0
JP,BG,0
KR,BG,0
IN,BG,0
IR,BG,3
BN,BG,0
ID,BG,0
MY,BG,0
SG,BG,0
TH,BG,0
VN,BG,0
AM,BG,0
AZ,BG,0
BH,BG,0
GE,BG,0
IQ,BG,0
IL,BG,0
KW,BG,0
OM,BG,0
QA,BG,0
SA,BG,0
SY,BG,0
AE,BG,1
YE,BG,0
ASI_NME,BG,0
ASI_OTH,BG,0
AU,BG,0
NZ,BG,0
PG,BG,0
TOTAL,BG,8110
NSP,BG,0
BE,CZ,17
BG,CZ,0
CZ,CZ,0
DK,CZ,0
DE,CZ,961
EE,CZ,0
IE,CZ,0
EL,CZ,0
ES,CZ,1
FR,CZ,15
HR,CZ,0
IT,CZ,14
CY,CZ,0
LV,CZ,1
LT,CZ,3
LU,CZ,0
HU,CZ,44
MT,CZ,0
NL,CZ,7
AT,CZ,311
PL,CZ,359
PT,CZ,0
RO,CZ,1
SI,CZ,88
SK,CZ,992
FI,CZ,0
SE,CZ,3
UK,CZ,12
IS,CZ,0
NO,CZ,0
CH,CZ,1
ME,CZ,0
MK,CZ,0
RS,CZ,0
TR,CZ,0
BY,CZ,67
BA,CZ,0
MD,CZ,0
RU,CZ,4569
UA,CZ,5
EX_SU_OTH,CZ,0
EUR_OTH,CZ,0
AO,CZ,0
CM,CZ,0
CG,CZ,0
CD,CZ,0
GQ,CZ,0
GA,CZ,0
